"","CA-2026-000110","Hear By 03-Mar-2027","Not assigned","Not assigned","Not assigned","","Cardiff","CA-2026-000110","ZETA ENERGY LIMITED","v KAPPA INSURANCE LIMITED","Appeal","from the order of Circuit Judge HHJ India","Stay of execution and other orders","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting listing","01-Mar-2024: Application referred to Lord/Lady Justice","10-Jul-2025: Case file passed to Case Management","15-May-2025: Case passed to List Office","","","","",""
"05-Jul-2023","CA-2026-000111","Fixed on 05-Jul-2023 - estimated length (in hours): 01:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","","CA-2026-000111","DELTA CARE SERVICES LIMITED","v DAVIES","Appeal","from the order of HHJ Bravo","Permission to appeal and a stay of execution","07-Sep-2026","","Awaiting a hearing - see Hearing Status","","","","","","","",""
"","CA-2026-000112","Hear By 15-Jan-2027","Not assigned","Not assigned","Not assigned","","","CA-2026-000112","ZETA ENERGY LIMITED","v SAMPLE REGULATORY BODY","Appeal","from the order of HHJ Bravo","permission to appeal","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting a Judicial decision on the papers","20-Oct-2024: Case Stood Out","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","","","","","",""
"05-Jul-2023","CA-2026-000113","Fixed on 05-Jul-2023 - estimated length (in hours): 02:00","Not assigned","Not assigned","Not assigned","County Court dated 10-Jan-2024","London","CA-2026-000113","JONES","v DAVIES","Permission to Appeal","from the order of Mrs Justice Echo","","07-Sep-2026","Allowed on 12-Apr-2024","Awaiting a hearing - see Hearing Status","20-Oct-2024: Case Stood Out","01-Mar-2024: Application referred to Lord/Lady Justice","","","","","",""
"08-Feb-2023","CA-2026-000114","Fixed on 08-Feb-2023 - estimated length (in hours): 09:00","Not assigned","Not assigned","Not assigned","County Court dated 10-Jan-2024","","CA-2026-000114","BROWN","v NU HEALTHCARE TRUST","Appeal","from the order of HHJ Alpha","Stay of execution and other orders","07-Sep-2026","Judgment reserved (CAV) on 08-Feb-2023","Awaiting a hearing - see Hearing Status","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","20-Oct-2024: Case Stood Out","","","","","",""
"08-Feb-2023","CA-2026-000115","Fixed on 08-Feb-2023 - estimated length (in hours): 06:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","Cardiff","CA-2026-000115","BROWN","v EXAMPLE BOROUGH COUNCIL","Permission to Appeal","from the order of Mr Justice Delta","Stay of execution and other orders","07-Sep-2026","Allowed on 12-Apr-2024","Awaiting a Judicial decision on the papers","15-May-2025: Case passed to List Office","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","20-Oct-2024: Case Stood Out","","","","",""
"05-Jul-2023","CA-2026-000116","Fixed on 05-Jul-2023 - estimated length (in hours): 06:00","Not assigned","Not assigned","Not assigned","County Court dated 10-Jan-2024","","CA-2026-000116","EPSILON RETAIL GROUP LTD","v DAVIES","Permission to Appeal","from the order of Mr Justice Delta","Stay of execution and other orders","07-Sep-2026","Judgment reserved (CAV) on 08-Feb-2023","Awaiting listing","20-Oct-2024: Case Stood Out","10-Jul-2025: Case file passed to Case Management","","","","","",""
"08-Feb-2023","CA-2026-000117","Fixed on 08-Feb-2023 - estimated length (in hours): 02:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","London","CA-2026-000117","DELTA CARE SERVICES LIMITED","v NU HEALTHCARE TRUST","Appeal","from the order of Circuit Judge HHJ India","Stay of execution and other orders","07-Sep-2026","","Awaiting listing","10-Jul-2025: Case file passed to Case Management","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","","","","","",""
"05-Jul-2023","CA-2026-000118","Fixed on 05-Jul-2023 - estimated length (in hours): 04:00","Not assigned","Not assigned","Not assigned","Central Civil Court dated 22-Sep-2024","","CA-2026-000118","SMITH","v NU HEALTHCARE TRUST","Appeal","from the order of HHJ Hotel","application to reopen","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting a hearing - see Hearing Status","15-May-2025: Case passed to List Office","","","","","","",""
"08-Feb-2023","CA-2026-000119","Fixed on 08-Feb-2023 - estimated length (in hours): 01:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","Cardiff","CA-2026-000119","JONES","v KAPPA INSURANCE LIMITED","Permission to Appeal","from the order of Sir Foxtrot Golf","permission to appeal","07-Sep-2026","Allowed on 12-Apr-2024","Awaiting a hearing - see Hearing Status","","","","","","","",""
